,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
5,615,1,0,0,65,71,69,0,0,0,0,0,0
5,620,1,0,0,65,71,69,0,0,0,0,0,0
5,625,1,0,0,65,72,69,0,0,0,0,0,0
5,630,1,0,0,66,71,69,0,0,0,0,0,0
5,635,1,0,0,66,71,69,0,0,0,0,0,0
5,640,1,0,0,66,71,71,0,0,0,0,0,0
5,645,1,0,0,66,71,69,0,0,0,0,0,0
5,650,1,0,0,66,71,69,0,0,0,0,0,0
5,655,1,0,0,67,71,69,0,0,0,0,0,0
5,660,1,0,0,67,71,70,0,0,0,0,0,0
5,665,1,0,0,67,72,70,0,0,0,0,0,0
5,670,1,0,0,67,72,70,0,0,0,0,0,0
5,675,1,0,0,67,72,70,0,0,0,0,0,0
5,680,1,1,0,67,72,70,0,0,0,0,0,1
5,685,1,1,0,67,73,70,0,1,1,0,0,0
5,690,1,1,0,67,72,70,0,0,1,0,0,0
5,695,1,0,0,68,72,70,0,0,0,0,0,0
5,700,1,0,0,68,72,70,0,0,0,0,0,0
5,705,1,1,0,68,72,70,0,0,1,0,0,0
5,710,0,1,0,68,72,70,0,0,0,0,0,1
5,715,1,1,0,68,72,71,0,0,0,0,0,1
5,720,1,0,0,68,72,71,0,0,0,0,0,1
5,725,1,0,0,68,73,71,0,0,0,0,0,0
5,730,1,0,0,69,73,71,0,0,0,0,0,0
5,735,1,0,0,69,73,71,0,0,0,0,0,1
5,740,1,0,0,69,73,71,0,0,0,0,0,0
5,745,1,0,0,69,73,71,0,0,0,0,0,0
5,750,1,0,0,69,73,71,0,0,1,0,1,0
5,755,1,0,0,69,73,71,0,0,0,0,1,0
5,760,1,0,0,69,73,71,0,0,1,0,1,0
5,765,1,0,0,69,73,73,0,0,1,0,1,0
5,770,1,0,0,70,73,71,0,0,1,0,1,0
5,775,1,0,0,70,73,71,0,0,0,0,1,0
5,780,1,0,0,70,73,72,0,0,0,0,1,0
5,785,1,0,0,70,73,72,0,0,1,0,1,0
